note_id,xsec_token,title,author,like_count,url
6a00052d0000000036033a87,ABKpDg8gHFPOVGgLrBwm4MBqv_pra5QY4jNK4wBBelb-w=,Gemini Pro立减90%折扣,SpookySandwich,427,https://www.xiaohongshu.com/search_result/6a00052d0000000036033a87?xsec_token=ABKpDg8gHFPOVGgLrBwm4MBqv_pra5QY4jNK4wBBelb-w=&xsec_source=
6a3bb6ae000000000f01466c,ABHkMoRF22Ta1fP2NIWtCm3tbsN2NJ2_LjKiTOp1pNLGs=,十分钟解锁Pixel专属Gemini Pro福利,阿塞阿珂,38,https://www.xiaohongshu.com/search_result/6a3bb6ae000000000f01466c?xsec_token=ABHkMoRF22Ta1fP2NIWtCm3tbsN2NJ2_LjKiTOp1pNLGs=&xsec_source=
6969dc44000000001a0275c5,ABHzDxMDAWyv0m2EgHPXqccv7G3XsIY3EBXOjwOzu4hgA=,gemini pro,富婆,60,https://www.xiaohongshu.com/search_result/6969dc44000000001a0275c5?xsec_token=ABHzDxMDAWyv0m2EgHPXqccv7G3XsIY3EBXOjwOzu4hgA=&xsec_source=
69ac367900000000150398c4,ABO3SS7sn2rEqEMIZ3XqHWi1iD8bpILqoiDaukfDMxGyM=,Gemini学生验证失败求教,简茶,249,https://www.xiaohongshu.com/search_result/69ac367900000000150398c4?xsec_token=ABO3SS7sn2rEqEMIZ3XqHWi1iD8bpILqoiDaukfDMxGyM=&xsec_source=
68c7e648000000001b03da3f,ABYfXT3ygFpzSl5xt_YnQ8dKWnoa1PEKTMl_5pBM9V_Yk=,🇸🇬 60分钟拿下Google Gemini新出的🆓证书,坡岛程序猿日常,824,https://www.xiaohongshu.com/search_result/68c7e648000000001b03da3f?xsec_token=ABYfXT3ygFpzSl5xt_YnQ8dKWnoa1PEKTMl_5pBM9V_Yk=&xsec_source=
6a0edc170000000035032264,ABvUG2a1p0utCghYgrMzaKoMA8aDK0xj9Cp3kmhY1p11w=,Gemini读文献也太牛了！！,清风学长,97,https://www.xiaohongshu.com/search_result/6a0edc170000000035032264?xsec_token=ABvUG2a1p0utCghYgrMzaKoMA8aDK0xj9Cp3kmhY1p11w=&xsec_source=
67ea8583000000001c0124d7,ABjVkptez1OoHNDDBc9Uvwud3oUcdmjrZihPKGGxL8gs4=,Gemini vs ChatGPT：AI王座之争，谁是你的智,图解进阶之路,402,https://www.xiaohongshu.com/search_result/67ea8583000000001c0124d7?xsec_token=ABjVkptez1OoHNDDBc9Uvwud3oUcdmjrZihPKGGxL8gs4=&xsec_source=
6a38d333000000002101803f,ABkXZ55_wAERM_tBJnj6Sm8IztgXiFq350REWX6rBZrOs=,Gemini一键生成科研绘图 |附原创提示,Better Rose,23,https://www.xiaohongshu.com/search_result/6a38d333000000002101803f?xsec_token=ABkXZ55_wAERM_tBJnj6Sm8IztgXiFq350REWX6rBZrOs=&xsec_source=
6a46f0fb000000000602309b,ABudR29VLF033-ZjfNxYJRJ7c-QRuRkFalPjBz_LTznAQ=,gemini pro也快用一年了，在犹豫换不换,ino,80,https://www.xiaohongshu.com/search_result/6a46f0fb000000000602309b?xsec_token=ABudR29VLF033-ZjfNxYJRJ7c-QRuRkFalPjBz_LTznAQ=&xsec_source=
69d026bf000000001b002322,ABHt0EAAj8eHaFvdMCytuDwuDH3c4ZJ6I1yAizywi1CqU=,别买 Gemini Pro！除非你能接受这 3 点…,subiviv,235,https://www.xiaohongshu.com/search_result/69d026bf000000001b002322?xsec_token=ABHt0EAAj8eHaFvdMCytuDwuDH3c4ZJ6I1yAizywi1CqU=&xsec_source=
692be5ac000000001e02b877,ABSGptmzr_2t-42-xUkaTyJ0Qly5xUJBeGcA2-p2Botoo=,🚨Gemini会员值得冲吗？免费版 vs Advanced,修修补补学长,53,https://www.xiaohongshu.com/search_result/692be5ac000000001e02b877?xsec_token=ABSGptmzr_2t-42-xUkaTyJ0Qly5xUJBeGcA2-p2Botoo=&xsec_source=
